movie_name,movie_description,casts,genres,run_time,views,rating,seasons,index
Bordertown,"Quirky police detective, in Finland, delves into his mind palace to solve despicable crimes all the while trying to keep his family together. If Sherlock was based in Finland this would be it.
Note: This show is in Finnish Language with hardcoded English Subtitles.","Ville Virtanen, Matleena Kuusniemi, Anu Sinisalo","Crime, Drama, Mystery ",1 Hour,43806,4.23,1,55
Survive,"When their plane crashes on a remote snow-covered mountain, Jane and Paul have to fight for their lives as the only remaining survivors. Together they embark on a harrowing journey out of the wilderness.","Corey Hawkins, Sophie Turner, Caroline Goodall","Adventure, Drama ",7 Minutes,97973,4.26,1,56
Hightown,"Set in the world of beautiful but bleak Cape Cod, one womans journey to sobriety is overshadowed by a murder investigation dragging her into its fold.","Monica Raymund, James Badge Dale, Riley Voelkel","Crime, Drama ",1 Hour,87109,4.48,1,57
I Know This Much Is True,"Middle-aged Dominick Birdsey recounts his troubled relationship with Thomas, his paranoid schizophrenic twin brother, and his efforts to get him released from an asylum.","Mark Ruffalo, Melissa Leo, John Procaccino",Drama ,1 Hour,67813,4.45,1,58
Valeria,"Valeria is a writer whos hit a dead end with both her writing and her husband. She finds solace in her three friends Carmen, Lola and Nerea.
Note: This show is in Spanish Language but with hardcoded English Subtitles.","Diana Gomez, Silma Lopez, Paula Malia",Drama ,42 Minutes,78620,3.87,1,59
The Eddy,A French club owner deals with the everyday chaos of running a live music venue in the heart of Paris.,"Andre Holland, Tahar Rahim, Leila Bekhti","Drama, Musical ",1 Hour,54599,4.29,1,60
Robbie,An overzealous church-league basketball coach aspires to restore glory to his rural Georgia town by following in his father's footsteps as the infamous coach who won two high school basketball championships in the nineties.,"Rory Scovel, Jill Jane Clements, Chloe Adona",Comedy ,21 Minutes,57190,4.37,1,61
Solar Opposites,"A family of aliens move to middle America, where they debate whether life is better there or on their home planet.","Sean Giambrone, Mary Mack, Justin Roiland","Animation, Comedy, Sci-Fi ",22 Minutes,68060,4.71,1,62
Grenslanders,"In a remote border area between the Netherlands and Belgium, a wandering girl is found. Her identity is a great mystery.","Jasmine Sendar, Koen De Bouw, Wim Willaert","Crime, Drama, Thriller ",50 Minutes,54026,4.8,1,63
Ruthless,"A spinoff of The Oval, follows Ruth Truesdale as shes forced to play nice with a scandalous religious cult of powerful sex crazed fanatics in the hopes of freeing herself and her daughter.","Melissa L Williams, Jaime M. Callica, Lenny Thomas",Drama ,42 Minutes,165094,4.77,1,64
The A Word,"The Hughes family work and love and fight like every other family. Then, their youngest son is diagnosed with autism and they don't feel like every other family anymore.","Max Vento, Lee Ingleby, Morven Christie",Drama ,1 Hour,31906,5,1,65
Betty,A diverse group of young women navigating their lives through the predominantly male oriented world of skateboarding.,"Moonbear, Nina Moran, Ajani Russell",Comedy ,30 Minutes,90432,4.81,1,66
Trying,"All Jason and Nikki want is a baby, but its the one thing they just cant have. So, they decide to adopt. With their dysfunctional friends, screwball family, and chaotic lives will the adoption panel think theyre ready to be parents?","Rafe Spall, Esther Smith, Robyn Cara",Comedy ,30 Minutes,52203,5,1,67
Hollywood,A group of aspiring actors and filmmakers in post-World War II Hollywood try to make it big - no matter the cost.,"David Corenswet, Darren Criss, Laura Harrier",Drama ,45 Minutes,75196,5,1,68
Into the Night,"As the sun starts to kill everything in its path, a plane full of passengers attempt to fly west into the safety of the darkness to escape its destructive power.
Note: This show is in French Language but with hardcoded English Subtitles.","Pauline Etienne, Laurent Capelluto, Stefano Cassetti","Drama, Sci-Fi, Thriller ",40 Minutes,84954,4.8,1,69
Upload,A man is able to choose his own afterlife after his untimely death.,"Robbie Amell, Andy Allo, Zainab Johnson",Sci-Fi ,30 Minutes,74569,4.82,1,70
Summertime,"A modern love story, set during a summer on the Adriatic coast. An undeniable attraction unites Ale and Summer, two people from very different worlds.","Rebecca Coco Edogamhe, Ludovico Tersigni, Amanda Campana",Drama ,42 Minutes,66427,4.84,1,71
Code 404,A British detective killed in action is brought back to life using experimental Artificial Intelligence.,"Richard Gadd, Stephen Graham, Michelle Greenidge",Comedy ,30 Minutes,73067,5,1,72
Extracurricular,"It is a story of high school students who become tangled in a series of conflicts and events that challenge human values and morality.
Note: This show is in Korean Language but with hardcoded English Subtitles.","Kim Dong-hee, Jung Da-bin, Park Ju-hyun","Crime, Drama ",50 Minutes,74049,4.79,1,73
Never Have I Ever,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Kalings own childhood.","Maitreyi Ramakrishnan, Poorna Jagannathan, Lee Rodriguez",Comedy ,30 Minutes,137457,4.78,1,74
Normal People,"Follows Marianne and Connell, from different backgrounds but the same small town in Ireland, as they weave in and out of each others romantic lives.","Daisy Edgar-Jones, Paul Mescal, Eliot Salt",Drama ,30 Minutes,54696,5,1,75
Van Der Valk,"With a theme tune that topped the UK music charts, crime stories that didnt shy away from sex and drugs and gangsters, a precinct made up largely of Amsterdam canals and a moody blond hero at its heart, the British detective series VAN DER VALK ran for 32 episodes over five series between 1972 and 1992 as British audiences were captivated by their first truly international detective. This is VAN DER VALK re-imagined in the Amsterdam of 2018 and beyond aiming to captivate audiences all over again with a new raft of compelling crime mysteries.","Marc Warren, Maimie McCoy, Luke Allen-Gale","Crime, Drama, Thriller ",1:30 Hours,73495,4.76,1,76
Penny Dreadful - City of Angels,"When a grisly murder shocks Los Angeles in 1938, Detective Tiago Vega and his partner Lewis Michener become embroiled in an epic story that reflects the rich history of the city.","Natalie Dormer, Daniel Zovatto, Adriana Barraza","Drama, Fantasy, Horror ",1 Hour,163419,4.71,1,77
Gangs of London,Tells the story of London being torn apart by the turbulent power struggles of the international gangs that control it and the sudden power vacuum thats created when the head of Londons most powerful crime family is assassinated.,"Asif Raza Mir, Lucian Msamati, Scott James","Action, Crime, Drama ",1 Hour,249645,4.92,1,78
Ask 101,"In 1990s Turkey, a group of teenage outcasts band together to make their beloved teacher fall in love so she will have a reason to stay in town with them.
Note: This show is in Turkish Language with hardcoded English Subtitles.","Kubilay Aka, Mert Yazicioglu, Alina Boz","Comedy, Romance ",40 Minutes,64758,4.67,1,79
Defending Jacob,"The limited drama series is a gripping, character-driven thriller based on the 2012 New York Times best selling novel of the same name by William Landay. An assistant DAs world is shattered when his beloved son gets charged with murder.","Chris Evans, Michelle Dockery, Betty Gabriel","Mystery, Thriller ",45 Minutes,120622,4.91,1,80
The Valhalla Murders,"Police profiler Arnar is sent back home from Oslo to his native Iceland to investigate the countrys first serial killer case. He teams up with the local senior cop Kata.
Note: This show is in Icelandic Language but with hardcoded English Subtitles.","Aldís Amah Hamilton, Bergur Ebbi Benediktsson, Edda Björgvinsdóttir","Crime, Drama, Mystery ",50 Minutes,60375,4.85,1,81
The Secrets She Keeps,A chance encounter between two pregnant women in a supermarket just outside of Sydney.,"Laura Carmichael, Jessica De Gouw, Michael Dorman","Drama, Thriller ",42 Minutes,113468,4.72,1,82
Miss Scarlet and the Duke,Eliza Scarlet joins forces with a Scotland Yard Inspector to solve crime in 19th century London.,"Kate Phillips, Cathy Belton, Stuart Martin","Crime, Drama ",50 Minutes,60935,4.6,1,83
