movie_name,movie_description,casts,genres,run_time,views,rating,seasons,index
Detroiters,"Single camera, buddy comedy that centers on Sam (Richardson) and Tim (Robinson), two local ad men who make low budget commercials in Detroit, Michigan. But the two best friends, much like the city in which they live, aspire to achieve great things.","Sam Richardson, Tim Robinson, Pat Vern Harris",Comedy ,21 Minutes,132721,4.62,1,698
Take Two,A private investigator in Los Angeles reluctantly teams up with a former star of a hit cop show.,"Rachel Bilson, Eddie Cibrian, Xavier de Guzman","Crime, Drama ",42 Minutes,323066,4.83,1,699
Yellowstone,A ranching family in Montana face off against others encroaching on their land.,"Kevin Costner, Brecken Merrill, Dave Annable","Drama, Western ",1 hr 30 minutes,347122,4.58,3,700
Wentworth,Bea Smith is locked up while awaiting trial for the attempted murder of her husband and must learn how life works in prison.,"Kate Atkinson, Lauri McLennan, Celia Ireland","Crime, Drama ",45 minutes,239022,3.9,2,701
A Very English Scandal,British Liberal Party leader Jeremy Thorpe is accused of conspiracy to murder his gay ex-lover and forced to stand trial in 1979.,"Hugh Grant, Ben Whishaw, Alex Jennings","Biography, Crime, Drama ",1 Hour,146552,4.78,1,702
The Affair,A struggling novelist and a young waitress strike up an extramarital relationship that promises to forever change the course of their lives.,"Dominic West, Ruth Wilson, Joshua Jackson",Drama ,1 hour,419075,3.88,2,703
Ravens Home,"Though Raven Baxter is psychic, she would've never guess she'd be a single mother living in an apartment with her twins Nia and Booker Baxter and her best friend Chelsea and son Levi.","Jason Maybaum, Sky Katz, Anneliese van der Pol","Comedy, Family ",22 Minutes,449563,4.9,3,704
Strange Angel,A rocket scientist in 1940s Los Angeles is secretly the disciple of occultist Aleister Crowley.,"Peter Mark Kendall, Jack Reynor, Michael Gaston","Drama, Sci-Fi ",1 Hour,541104,4.78,2,705
Girlfriends Guide to Divorce,"Follows a best-selling author of a self-help book series who is secretly hiding her separation from her husband as she starts to navigate her life as a single woman in her 40s in Los Angeles. She starts to side with and take advice more from her divorced friends rather than her married ones, and it leads her to some unexpected and life-changing experiences.","Lisa Edelstein, Beau Garrett, Necar Zadegan","Comedy, Drama ",1 Hour,131747,3.45,1,706
Goliath,"A disgraced lawyer, now an ambulance chaser, gets a case that could bring him redemption or at least revenge on the firm which expelled him.","Billy Bob Thornton, Tania Raymonde, Nina Arianda",Drama ,1 Hour,316361,4.85,3,707
Poldark,"Ross Poldark returns home after American Revolutionary War and rebuilds his life with a new business venture, making new enemies and finding a new love where he least expects it.","Aidan Turner, Eleanor Tomlinson, Jack Farthing","Drama, History, Romance ",1 Hour,239646,4.06,2,708
Big Hero 6 The Series,"As the new prodigy at San Fransokyo Institute of Technology, Hiro now faces daunting academic challenges and the social trials of being the little man on campus. Off campus, the stakes are raised for the high-tech heroes as they must protect their city from an array of scientifically enhanced villains.","Scott Adsit, Ryan Potter, Brooks Wheelan","Action, Adventure, Animation ",21 Minutes,690712,4.79,2,709
The Hollow,3 teen strangers awaken in a dangerous world and try to make sense of what connection they have to each other as they attempt to make it out alive.,"Ashleigh Ball, Connor Parnall, Adrian Petriw","Animation, Drama ",30 Minutes,252262,4.86,2,710
Condor,"A young CIA analyst Joe Turner, whose idealism is tested when he joins the CIA hoping to reform it from within but stumbles onto a terrible but brilliant plan that threatens the lives of millions.","Max Irons, Leem Lubany, Katherine Cunningham",Thriller ,1 Hour,612317,4.82,2,711
Cloak and Dagger,Two teenagers from very different backgrounds find themselves burdened and awakened to newly acquired superpowers while falling in love.,"Olivia Holt, Aubrey Joseph, Gloria Reuben","Action, Adventure, Drama ",44 Minutes,1133153,4.87,2,712
American Woman,A single mom struggles to raise her two daughters on her own.,"Jennifer Bartels, Makenna James, Lia McHugh",Comedy ,30 Minutes,217909,4.75,1,713
Impulse,A young woman discovers she has the extraordinary power of teleportation.,"Craig Arnold, Sarah Desjardins, Maddie Hasson","Action, Sci-Fi ",50 Minutes,463975,4.89,2,714
Hidden,Police investigate when the body of a girl is found in a lake.,"Rhodri Meilir, Gwyneth Keyworth, Sian Reese-Williams","Crime, Drama, Mystery ",1 Hour,324622,4.47,2,715
Younger,"After being mistaken for younger than she really is, a single mother decides to take the chance to reboot her career and her love life as a 26-year old.","Sutton Foster, Miriam Shor, Hilary Duff","Comedy, Romance ",22 Minutes,386775,3.94,2,716
Teachers,"Teachers show their hilariously warped perspective as six elementary school educators trying to mold young minds, even though their own lives arent really together.","Caitlin Barlow, Katy Colloton, Kate Lambert",Comedy ,30 Minutes,199676,4.63,1,717
Dietland,"A look at societys obsession with weight loss and fashion as seen through the eyes of those who work in the beauty industry. Based on Sarai Walkers book, Dietland.","Joy Nash, Julianna Margulies, Adam Rothenberg",Comedy ,42 Minutes,166899,4.64,1,718
Mystery Road,"Detective Jay Swan is assigned to investigate a mysterious disappearance on an outback cattle station. Soon, Jays investigation uncovers a past injustice that threatens the fabric of the whole community.","Aaron Pedersen, Judy Davis, Deborah Mailman",Drama ,50 Minutes,189990,4.72,2,719
Succession,Succession that follows a dysfunctional American global-media family.,"Hiam Abbass, Brian Cox, Kieran Culkin",Drama ,1 Hour,465342,4.78,2,720
Marlon,A loving (but immature) father with a larger-than-life personality is committed to co-parenting his two kids with his very-together ex-wife but for Marlon family really always does come first - even if hes the biggest kid of all.,"Marlon Wayans, Essence Atkins, Bresha Webb",Comedy ,22 Minutes,309599,4.88,2,721
Reverie,A former detective specializing in human behavior is brought in when the launch of an advanced virtual reality program has dangerous and unintended consequences.,"Sarah Shahi, Dennis Haysbert, Kathryn Morris","Drama, Thriller ",1 Hour,276332,3.94,1,722
Six,Navy SEAL Team Six attempt to eliminate a Taliban leader in Afghanistan when they discover an American citizen working with the enemy.,"Barry Sloane, Kyle Schmid, Juan Pablo Raba","Action, Drama, History ",1 Hour,594089,4.06,1,723
Picnic at Hanging Rock,Three schoolgirls and their governesses mysteriously disappear on Valentines Day in 1900.,"Natalie Dormer, Lily Sullivan, Lola Bessis","Drama, Mystery, Romance ",1 Hour,138053,2.94,1,724
You Are Wanted,"Lukas Franke (Matthias Schweighöfer) is the victim of a cyber-crime attack. All his personal data, web and social media profiles get hacked and he gets accused of being involved in eco-terrorism. Lukas struggles to prove that he is innocent. His family, friends and colleagues doubt his innocence and start suspecting him. Lukas tries to find out who is behind the cyber-attacks and finds another victim, Lena Arandt, with whom he tries to solve the situation.","Matthias Schweighöfer, Alexandra Maria Lara, Franz Hagn","Drama, Thriller ",49 Minutes,260782,3.7,1,725
Bulletproof,"Bulletproof follows two cops, Bishop and Pike, as they chase down hardened criminals in Londons East End.","Mandeep Dhillon, Jason Maza, David Elliot","Action, Crime ",42 Minutes,574080,3.44,2,726
Carter,"An actor returns home after a public meltdown. Partnering with his police detective friend, he tries to use his acting experience to solve real crimes.","Jerry O Connell, Sydney Tamiia Poitier, Kristian Bruun",Drama ,42 Minutes,400422,3.85,2,727
Patrick Melrose,Based on the Patrick Melrose Novels by Edward St. Aubyn.,"Benedict Cumberbatch, Jennifer Jason Leigh, Sebastian Maltz",Drama ,1 Hour,189510,2.12,1,728
Safe,"After his daughter goes missing, a widower begins uncovering the dark secrets of the people closest to him.","Amanda Abbington, Amy James-Kelly, Hannah Arterton",Drama ,1 Hour,269717,1.02,1,729
I am Dying Up Here,"Set in the celebrated and infamous L.A. stand-up comedy scene of the 70s, where the careers of most comedy superstars began, I am Dying Up Here delves into the inspired and damaged psyches that inhabit the hilarious, but complex business of making an audience laugh. The series is based on William Knoedelseders book of the same name.","Melissa Leo, Ari Graynor, Michael Angarano",Drama ,1 Hour,159126,3.43,1,730
Sweetbitter,A young woman learns how crazy it is to work in a restaurant.,"Ella Purnell, Evan Jonigkeit, Tom Sturridge",Drama ,1 Hour,306166,3.31,2,731
Vida,"This show follows the life of two Mexican-American sisters, Emma and Lyn, from the Eastside of Los Angeles who couldnt be more different or distanced from each other. Circumstances force them to return to their old neighborhood, where they are confronted by the past and shocking truth about their mothers identity.","Ser Anzoategui, Melissa Barrera, Maria-Elena Laas",Drama ,30 Minutes,412658,3.64,3,732
The Rain,"After a brutal virus wipes out most of the population, two young siblings embark on a perilous search for safety.
Note: This show is in Danish Language but with hardcoded English Subtitles.","Alba August, Lucas Lynggaard Tonnesen, Mikkel Boe Folsgaard",Thriller ,45 Minutes,353211,3.2,2,733
Cobra Kai,"Set thirty years after the events of the 1984 All Valley Karate Tournament, the series focuses on Johnny Lawrence reopening the Cobra Kai dojo, which causes his rivalry with Daniel LaRusso to be reignited.","\Xolo Mariduena, Tanner Buchanan, Ralph Macchio","Action, Comedy, Drama ",30 Minutes,515066,3.91,2,734
Dear White People,"At a predominantly white Ivy League college, a diverse group of students navigate various forms of racial and other types of discrimination.","Logan Browning, Brandon P Bell, DeRon Horton","Comedy, Drama ",30 Minutes,258770,3.5,2,735
Colony,"In the wake of a mysterious alien invasion, a family fights to stay together in a new world order.","Josh Holloway, Sarah Wayne Callies, Peter Jacobson","Action, Adventure, Drama ",42 Minutes,475288,3.18,1,736
3 Percent,"A thriller set in a world sharply divided between progress and devastation, where people are given the chance to make it to the ""better side"" but only 3% of the candidates succeed.
Note: This show is in Portuguese Language but with hardcoded English Subtitles.","Bianca Comparato, Michel Gomes, Rodolfo Valente","Action, Drama, Sci-Fi ",49 Minutes,240497,3.13,3,737
Brockmire,A famed major league baseball announcer who suffers an embarrassing and very public meltdown live on the air after discovering his beloved wifes serial infidelity decides to reclaim his career and love life in a small town a decade later.,"Hank Azaria, Tyrel Jackson Williams, Amanda Peet","Comedy, Drama, Sport ",30 Minutes,235847,3.78,3,738
Code Black,The staff of the LA County Hospital emergency room treat patients under difficult circumstances.,"Marcia Gay Harden, Benjamin Hollingsworth, Harry Ford",Drama ,42 Minutes,368613,3.56,1,739
Archer,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,"H. Jon Benjamin, Judy Greer, Amber Nash","Action, Animation, Comedy ",22 Minutes,526660,3.72,2,740
Bosch,An LAPD homicide detective works to solve the murder of a 13-year-old boy while standing trial in federal court for the murder of a serial killer.,"Titus Welliver, Jamie Hector, Amy Aquino","Crime, Drama ",51 Minutes,215879,2.03,3,741
Lost in Space,"After crash-landing on an alien planet, the Robinson family fight against all odds to survive and escape, but they are surrounded by hidden dangers.","Mina Sundwall, Molly Parker, Toby Stephens",Sci-Fi ,1 Hour,527455,3.51,2,742
Killing Eve,A security operative hunts for an assassin. Based on the Villanelle novellas by Luke Jennings.,"Sandra Oh, Jodie Comer, Fiona Shaw",Thriller ,1 Hour,835648,3.84,3,743
Ransom,"Ransom is inspired by the professional experiences of crisis negotiator Laurent Combalbert who with his partner, Marwan Mery, are among the top negotiators in the world. Together, they travel around the globe to help multinational corporations and governmental agencies with complex negotiations and conflict resolution.","Luke Roberts, Sarah Greene, Brandon Jay McLaren","Action, Crime, Drama ",44 Minutes,545078,3.31,2,744
Imposters,A dark comedy that focuses on a female con artist who marries people and then disappears with their money.,"Ray Proscia, Inbar Lavi, Rob Heaps","Comedy, Drama, Mystery ",41 Minutes,381407,3.31,1,745
Deep State,"What happens when a man who believes he has retired from MI6 is called back to do one more job to regain his life, only to discover that this job may mean he has no life to go back to.","Anastasia Griffith, Mark Strong, Joe Dempsie",Drama ,1 Hour,725165,2.93,2,746
The Last O.G.,An ex-felon is shocked to see just how much the world has changed when he is released from prison for good behavior after a 15-year stint and returns to his newly gentrified Brooklyn neighborhood.,"Tracy Morgan, Tiffany Haddish, Cedric the Entertainer",Comedy ,30 Minutes,746705,3.65,3,747
The Dangerous Book for Boys,"The story of a middle-class family coping with the sudden passing of their beloved patriarch Patrick, a whimsical inventor who touched the lives of all who knew him. Devastated, his family finds hope in a guide book he created for his sons. The book is a how-to guide for childhood that inspires fantasies for his youngest son, Wyatt (Gabriel Bateman).","Chris Diamantopoulos, Gabriel Bateman, Drew Powell","Comedy, Drama ",30 Minutes,312355,2.49,1,748
Siren,A mermaid-obsessed town is turned upside down when a mysterious girl appears and begins wreaking havoc.,"Eline Powell, Fola Evans-Akingbola, Sibongile Mlambo","Drama, Fantasy ",1 Hour,2305451,4.11,3,749
The Americans,"At the height of the Cold War two Russian agents pose as your average American couple, complete with family.","Keri Russell, Matthew Rhys, Keidrich Sellati","Crime, Drama, Mystery ",44 Minutes,261740,2.78,1,750
Alex Inc,"Alex, who is in his mid-30s with a wife and two kids makes the crazy decision to quit his good job and dive into the brave new world of starting a business.","Elisha Henig, Audyssie James, Zach Braff",Comedy ,30 Minutes,289878,1.1,1,751
Splitting Up Together,The story of a couple whose marriage is reignited by their divorce.,"Kelsey Asbille, Jenna Fischer, Oliver Hudson",Comedy ,30 Minutes,388581,4.04,2,752
The Terror,The crew of a Royal Naval expedition searching for the Arctics treacherous Northwest Passage discovers instead a monstrous predator.,"Jared Harris, CiarÃ¡n Hinds, Tobias Menzies","Drama, Horror ",1 Hour,557095,3.73,2,753
Barry,A hit man from the Midwest moves to Los Angeles and gets caught up in the citys theatre arts scene.,"Bill Hader, Henry Winkler, Stephen Root",Comedy ,30 Minutes,386729,3.15,2,754
Trust,"Rome, 1973. John Paul Getty III, the heir and younger member of an oil tycoons saga, is kidnapped by the Italian mafia in order to get a ransom. Quite surprisingly, for some undisclosed reason, his family seems not interested at all in having him back.","Brendan Fraser, Harris Dickinson, Michael Esper","Crime, Drama ",1 Hour,416769,1.25,1,755
Alexa And Katie,Lifelong best friends Alexa and Katie are eagerly anticipating the start of their freshman year of high school. The pals confront a crisis that leaves them feeling like outsiders at a time when what seems to matter most is fitting in.,"Paris Berelc, Isabel May, Tiffani Thiessen",Comedy ,30 Minutes,337467,3.31,4,756
Santa Clarita Diet,"Sheila and Joel are married real estate agents in Santa Clarita, California. When Sheila dies, their lives take a dark turn.","Drew Barrymore, Timothy Olyphant, Liv Hewson","Comedy, Horror ",30 Minutes,158373,3.16,2,757
Station 19,Follows the men and women of a Seattle firehouse.,"Jaina Lee Ortiz, Jason George, Grey Damon","Action, Drama, Romance ",1 Hour,1317441,4.31,3,758
Krypton,The untold story of Supermans grandfather as he fights for justice on his home planet.,"Cameron Cuffe, Georgina Campbell, Ian McElhinney","Action, Adventure, Drama ",45 Minutes,2094647,2.6,2,759
Adam Ruins Everything,"Iconoclastic Adam Conover from CollegeHumor turns life as we know it on its ear by showing us how unnecessary, and sometimes horrible, things we think we know to be real and true really are.","Adam Conover, Adam Lustick, Emily Axford",Comedy ,30 Minutes,144465,3.44,1,760
You Me Her,Centers around a three-way romantic relationship involving a suburban married couple.,"Greg Poehler, Rachel Blanchard, Priscilla Faia","Comedy, Drama, Romance ",28 Minutes,420156,3.54,3,761
The Crossing,Refugees from a war-torn country 250 years in the future start showing up to seek asylum in an American town.,"Rick Gomez, Grant Harvey, Kelley Missal","Adventure, Drama, Sci-Fi ",42 Minutes,560099,2.72,1,762
The Durrells,"Set in 1935 when the Englishwoman Louisa Durrell, whose life had fallen apart, decided to move from Bournemouth to the Greek island of Corfu. Her husband had died some years earlier and she has financial problems, when she suddenly announces that she and her four children will move to the island and a Homeric battle ensues as the family adapt to life on the island, especially when they discover that Corfu does not even have electricity at that time. But it is cheap, an earthly paradise and the Durrell family make the big step that will change their lives.","Keeley Hawes, Josh O'Connor, Milo Parker","Biography, Comedy, Drama ",46 Minutes,195451,2.36,2,763
The Good Karma Hospital,"Set in a coastal town in tropical South India, THE GOOD KARMA HOSPITAL tells the story of junior doctor, Ruby Walker, who arrives in India looking for a job and a distraction from her heartbreak. She anticipates the sunshine, the palm trees and picture-perfect beaches. She's even prepared for the sacred cows, the tuk-tuks and the Delhi-belly that everyone warned her about. What she doesn't expect are the realities of work, life and even love at an under-resourced and over-worked cottage hospital.","Amanda Redman, Amrita Acharia, Neil Morrissey",Drama ,1 Hour,208800,2.51,2,764
Instinct,"A former CIA operative (Cumming), who has since built a ""normal"" life as a gifted professor and writer, is pulled back into his old life when the NYPD needs his help to stop a serial killer on the loose.","John Mainieri, Michael B. Silver, Alan Cumming","Drama, Thriller ",1 Hour,788434,3.13,2,765
The Looming Tower,"Tracing the rising threat of Osama bin Laden and Al-Qaeda, it takes a controversial look at how the rivalry between the CIA and FBI inadvertently might have set the stage for the tragedy of 9/11 and the war in Iraq.","Jeff Daniels, Tahar Rahim, Wrenn Schmidt",Drama ,50 Minutes,343919,0.59,1,766
On My Block,"A coming-of-age comedy about four bright, street-savvy friends navigating their way through high school in the gritty inner city of South Central Los Angeles.","Jessica Marie Garcia, Julio Macias, Julian Lerma",Comedy ,30 Minutes,481039,4.07,3,767
Rise,A working class high school drama department and the students come alive under a passionate teacher and family man whose dedication to the program galvanizes the entire town.,"Aulii Cravalho, Ellie Desautels, Amy Forsyth",Drama ,1 Hour,419639,1.12,1,768
For the People,"Set in the Southern District of New York (SDNY) Federal Court, aka The Mother Court, the legal drama follows brand new lawyers working for both the defense and the prosecution as they handle the most high profile and high stakes cases in the country - all as their personal lives intersect.","Jasmin Savoy Brown, Wesam Keesh, Rahvaunia",Drama ,43 Minutes,573787,3.21,2,769
Unsolved,A scripted true crime series based on the murder investigations of Tupac Shakur and Biggie Smalls.,"Josh Duhamel, Bokeem Woodbine, Wavyy Jonez","Biography, Crime ",1 Hours,353979,1.04,1,770
Deception,"Cameron Black is the worlds greatest illusionist. At least, thats what people used to call him - before his greatest secret was exposed and his career destroyed. Even worse, Cameron has good reason to believe this was no accident.","Laila Robins, Robert Reed Murphy, Ruben Navarro",Drama ,41 Minutes,866972,3.51,1,771
The Arrangement,TV actress Megan Morrison is offered a USD 10 million marriage contract with Hollywoods biggest star.,"Josh Henderson, Christine Evangelista, Lexa Doig",Drama ,1 Hour,288683,1.98,1,772
The Royals,"Drama about a fictional British Royal family set in modern day London, who inhabit a world of opulence and regal tradition that caters to any and every desire, but one that also comes with a price tag of duty, destiny and intense public scrutiny.","Joan Collins, Elizabeth Hurley, Alexandra Park",Drama ,42 Minutes,419138,2.68,1,773
The Oath,Explores a world of gangs made up of those sworn to protect and shed light on corrupt and secret societies.,"Katrina Law, Joseph Julian Soria, Elisabeth Rohm","Crime, Drama ",1 Hour,434091,2.58,2,774
Sneaky Pete,"After leaving prison, Marius takes cover from his past by assuming the identity of his cellmate, Pete. He moves in with Petes long-estranged, unsuspecting family and is roped into the familys bail bond business. Hes a criminal taking down other criminals.","Giovanni Ribisi, Marin Ireland, Shane McRae","Crime, Drama ",1 Hour,207921,2.31,2,775
Harrow,"Harrow tells the story of Dr. Daniel Harrow, a forensic pathologist with a total disregard for authority.","Ioan Gruffudd, Mirrah Foulkes, Damien Garvey",Drama ,1 Hours,483445,3.04,2,776
Champions,"Vince, a charismatic gym owner with no ambition lives with his younger brother Matthew, a gorgeous idiot. Their simple life of women and working out is put on hold when the teenage son of Vince is dropped off on their doorstep by Priya, one of his old high school flings.","Anders Holm, J.J. Totah, Fortune Feimster",Comedy ,30 Minutes,408190,1,1,777
Life Sentence,"When Stella finds out her terminal cancer is cured, she must learn to live with all the choices she made when deciding to live like she was dying.","Lucy Hale, Elliot Knight, Brooke Lyons","Comedy, Drama ",1 Hour,481747,2.9,1,778
Good Girls,Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.,"Retta, Mae Whitman, Kaitlyn Oechsle","Comedy, Crime, Drama ",43 Minutes,778560,3.82,3,779
UnREAL,A behind-the-scenes look at the chaos surrounding the production of a dating competition program.,"Brennan Elliott, Shiri Appleby, Constance Zimmer",Drama ,42 Minutes,302711,2.44,2,780
Strike,War veteran turned private detective Cormoran Strike solves brutal murders with the help of his trusted assistant Robin Ellacott.,"Tom Burke, Holliday Grainger, Kerr Logan","Crime, Drama, Mystery ",1 Hour,290597,2.53,1,781
Seven Seconds,Tensions run high between African American citizens and Caucasian cops in Jersey City when a teenage African American boy is critically injured by a cop.,"Clare-Hope Ashitey, Nadia Alexander, RaÃºl Castillo","Crime, Drama ",1 Hour,491237,1.58,1,782
Heathers,"TV version of the 1988 black comedy, Heathers, where an outcast student plots to kill the cool kids.","Romel De Silva, Adwin Brown, Annalisa Cochrane",Comedy ,30 Minutes,270869,2.65,1,783
When Calls the Heart,"Elizabeth Thatcher, a young school teacher from a wealthy Eastern family, migrates from the big city to teach school in a small coal mining town in the west.","Erin Krakow, Lori Loughlin, Martin Cummins",Drama ,43 Minutes,250702,2.81,3,784
Marcella,"Marcella Backland left the Metropolitan Police for the sake of her family, only to have her husband leave her. She returns to her job on the murder squad, investigating a case that seems disturbingly familiar to her.","Nicholas Pinnock, Anna Friel, Ray Panthaki","Crime, Drama, Mystery ",45 Minutes,282318,2.55,2,785
Everything Sucks,"In 1990s Oregon, members of a high school A/V club clash with the drama club.","Jahi DiAllo Winston, Peyton Kennedy, Patch Darragh",Comedy ,30 Minutes,299360,2.19,1,786
Mozart in the Jungle,"Love, money, ambition and music intertwine in Mozart in the Jungle, a half hour comedic drama that looks at finding yourself and finding love while conquering New York City. A brash new maestro Rodrigo (Gael Garcia Bernal) stirs up the New York Symphony as young oboist Hailey (Lola Kirke) hopes for her big chance.","Gael Garcia Bernal, Lola Kirke, Saffron Burrows","Comedy, Drama, Music ",29 Minutes,210880,1.75,1,787
Greenhouse Academy,"At an elite Southern California boarding school, students from two rival dormitories combine forces to thwart an evil plot.","Ariel Mortman, Finn Roberts, Chris ONeal",Drama ,25 Minutes,374820,2.17,3,788
Requiem,"In 1994, a toddler disappeared from a small Welsh village, never to be seen again. 23 years later, in London, the mother of rising cello star Matilda Gray commits suicide, without apparent reason. Among her possessions, Matilda discovers tantalising evidence, linking her mother to the Welsh girls disappearance all those years ago.","Lydia Wilson, James Frecheville, Sian Reese-Williams","Fantasy, Thriller ",1 Hour,470749,0.6,1,789
Here and Now,"A multi-racial family made up of husband, wife, three adopted children from Somalia, Vietnam and Colombia and one biological child, find their bonds tested when one of the children begins seeing things which the rest cannot.","Holly Hunter, Sosie Bacon, Avynn Crowder-Jones","Comedy, Drama ",1 Hour,400615,0.75,1,790
Channel Zero,"An anthology series based on popular Internet Creepypastas, including Candle Cove, The No-End House, Butchers Block and Hidden Door.","Abigail Pniowsky, Keenan Lehmann, Amy Forsyth","Drama, Horror, Mystery ",44 Minutes,250039,1.81,2,791
Endeavour,"Set in the 1960s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.","Shaun Evans, Roger Allam, Anton Lesser","Crime, Drama, Mystery ",1 Hour 30 Minutes,235393,1.98,3,792
Altered Carbon,"Set in a future where consciousness is digitized and stored, a prisoner returns to life in a new body and must solve a mind-bending murder to win his freedom.","Martha Higareda, Antonio Marziale, Chris Conner","Drama, Sci-Fi, Thriller ",1 Hour,627155,2.74,2,793
Waco,"The FBI and ATF seize religious leader David Koreshs Branch Davidian compound in Waco, Texas in the spring of 1993.","Taylor Kitsch, Michael Shannon, Demore Barnes","Crime, Drama, Thriller ",1 Hour,412005,1.09,1,794
The Detour,Contemporary husband and father takes his family on a road trip.,"Jason Jones, Natalie Zea, Ashley Gerasimovich",Comedy ,30 Minutes,228153,2.53,2,795
Baskets,"After failing at a prestigious French clowning college, Chip Baskets looks to keep his dream of becoming a professional clown alive.","Zach Galifianakis, Martha Kelly, Louie Anderson","Comedy, Drama ",30 Minutes,231066,2,2,796
The Alienist,"Crime reporter, John Moore, meets with psychologist, Dr. Laszlo Kreizler, to investigate a serial killer in New York during the late 19th century.","Daniel BrÃ¼hl, Dakota Fanning, Luke Evans","Drama, Mystery ",1 Hour,444326,1.5,1,797
Mosaic,A whodunit based on the murder of popular childrens book author and illustrator Olivia Lake.,"Devin Ratray, Maya Kazan, James Ransone",Drama ,30 Minutes,211023,0.19,1,798
The Chi,"A fateful turn of events sends shockwaves through a community on the Southside of Chicago and connects the lives of Emmett, Brandon, Ronnie and Kevin in unexpected ways.","Jason Mitchell, Jacob Latimore, Ntare Guma Mbaho Mwine",Drama ,1 Hour,1066130,2.7,3,799
Call the Midwife,Chronicles the lives of a group of midwives living in East London in the late 1950s to early 1960s.,"Vanessa Redgrave, Jenny Agutter, Laura Main",Drama ,1 Hours,175583,3,3,800
Britannia,Britannia is a drama set in 43AD as the Roman Imperial Army - determined and terrified in equal measure - returns to crush the Celtic heart of Britannia - a mysterious land ruled by warrior women and powerful druids who can channel the powerful forces of the underworld. Or so they say.,"David Morrissey, Kelly Reilly, Nikolaj Lie Kaas","Drama, Fantasy ",1 Hour,527129,2.14,2,801
The Path,A man who converts to a controversial following suffers from a crisis of faith.,"Aaron Paul, Michelle Monaghan, Hugh Dancy",Drama ,1 Hour,218230,0.57,1,802
The Resident,"It centers on an idealistic young doctor who begins his first day under the supervision of a tough, brilliant senior resident who pulls the curtain back on all of the good and evil in modern day medicine. Lives may be saved or lost, but expectations will always be shattered.","Tasso Feldman, Matt Czuchry, Emily VanCamp",Drama ,1 Hour,2502609,3.98,3,803
Black Lightning,A retired superhero becomes a vigilante for justice.,"William Catlett, Gregg Henry, Cress Williams","Action, Drama, Sci-Fi ",1 Hour,2979833,3.53,3,804
Divorce,"A couple goes through a long, drawn-out divorce.","Sarah Jessica Parker, Thomas Haden Church, Charlie Kilgore",Comedy ,30 Minutes,308797,1.61,2,805
Crashing,A New York comic is forced to make a new start for himself after his wife leaves him.,"Pete Holmes, Artie Lange, Lauren Lapkus",Comedy ,30 Minutes,284226,1.76,2,806
Mary Kills People,"Single mother Mary Harris is an ER doctor by day, but by night she and her partner, a former plastic surgeon, moonlight as underground angels of death who help terminally ill patients slip away on their own terms.","Caroline Dhavernas, Jay Ryan, Richard Short",Drama ,44 Minutes,282529,1.99,2,807
Taken,"As former CIA agent Bryan Mills deals with a personal tragedy that shakes his world, he fights to overcome the incident and exact revenge.","Clive Standen, Jennifer Beals, Gaius Charles","Action, Drama, Thriller ",41 Minutes,1190944,1.98,1,808
Alone Together,"two misfits from different backgrounds try to make their way into the vain and status-obsessed culture of Los Angeles. Along the way, they find salvation in their male female, strictly platonic friendship.","Esther Povitsky, Benji Aflalo, Ginger Gonzaga",Comedy ,30 Minutes,403333,0.9,2,809
Falling Water,"An intersection between reality and unconscious thought, follow three strangers who slowly realize that they are dreaming parts of a bigger, more sinister tragedy.","David Ajala, Lizzie BrocherÃ©, Will Yun Lee","Drama, Mystery, Sci-Fi ",1 Hours,358357,1.75,1,810
The End of the Fucking World,"James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father.","Jessica Barden, Alex Lawther, Steve Oram","Comedy, Drama ",25 Minutes,567849,2.5,2,811
Cardinal,"Cardinal struggles to right past wrongs that could derail his investigation and end his career, as the case grows more violent and twisted, and the clock ticks down on the killers next victim.","Billy Campbell, Karine Vanasse, Glen Gould","Crime, Drama, Thriller ",42 Minutes,364924,1.98,3,812
The X-Files,"Two FBI agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.","David Duchovny, Gillian Anderson, Mitch Pileggi","Drama, Mystery, Sci-Fi ",45 Minutes,460657,1.57,1,813
Grownish,"In this spin-off of sitcom ""Black-ish,"" follow Zoey Johnson as she heads to college.","Francia Raisa, Abraham D. Juste, Yara Shahidi",Comedy ,22 Minutes,3146690,3.99,3,814
911,"Explores the high-pressure experiences of police, paramedics and firefighters who are thrust into the most frightening, shocking and heart-stopping situations. They must try to balance saving people with solving problems in their own lives.","Angela Bassett, Connie Britton, Kenneth Choi",Drama ,43 Minutes,1492617,3.75,3,815
LA to Vegas,"An ensemble workplace comedy about a group of underdogs trying to find their place in the world, set on the Friday night flight from LAX to Vegas and the returning flight on Sunday, who all share the same goal: to come back a winner in the casino of life.","Peter Stormare, Nathan Lee Graham, Dylan McDermott",Comedy ,30 Minutes,366223,1.53,1,816
